,a.Team,a.FGM,a.FGA,a.FG%,a.3PM,a.3PA,a.3P%,a.FTM,a.FTA,a.FT%,a.OREB,a.DREB,a.REB,a.AST,a.STL,a.BLK,a.TOV,a.PF
1176,DAL,41,82,50.0,12,39,30.8,17,24,70.8,11,26,37,18,8,5,12,16
1177,LAC,35,83,42.2,10,31,32.3,14,18,77.8,7,40,47,21,5,14,19,18
1178,GSW,41,91,45.1,10,35,28.6,13,17,76.5,10,30,40,28,7,7,16,28
1179,UTA,44,93,47.3,11,32,34.4,9,16,56.3,18,31,49,23,8,10,20,27
1180,ORL,36,86,41.9,7,35,20.0,23,27,85.2,13,28,41,14,6,4,13,23
1181,BKN,47,87,54.0,9,29,31.0,21,26,80.8,9,26,35,27,4,7,11,30
1182,TOR,34,86,39.5,14,32,43.8,16,20,80.0,10,42,52,22,6,6,12,22
1183,DEN,45,91,49.5,12,31,38.7,8,14,57.1,10,28,38,28,4,1,8,28
1184,SAS,48,105,45.7,12,37,32.4,7,13,53.8,14,36,50,37,11,0,13,21
1185,IND,38,90,42.2,12,44,27.3,18,23,78.3,14,33,47,27,3,4,13,23
1186,BOS,37,100,37.0,18,48,37.5,10,12,83.3,14,31,45,26,5,7,11,24
1187,WAS,43,87,49.4,12,28,42.9,9,15,60.0,4,31,35,25,9,4,20,24
1188,SAC,47,100,47.0,11,43,25.6,20,25,80.0,13,38,51,31,10,2,16,29
1189,CHA,47,90,52.2,11,26,42.3,21,30,70.0,14,38,52,28,7,6,14,24
1190,PHX,43,93,46.2,15,42,35.7,11,12,91.7,13,36,49,29,5,3,13,18
1191,UTA,43,98,43.9,13,38,34.2,23,28,82.1,15,29,44,29,13,6,17,20
1192,MIN,46,88,52.3,10,34,29.4,14,22,63.6,12,42,54,24,9,3,15,17
1193,POR,37,84,44.0,10,27,37.0,22,27,81.5,13,39,52,19,6,5,19,20
1194,CLE,48,85,56.5,16,27,59.3,16,18,88.9,8,40,48,32,4,5,18,17
1195,HOU,36,93,38.7,16,37,43.2,17,22,77.3,15,32,47,20,9,6,14,22
1196,DET,37,95,38.9,18,42,42.9,23,30,76.7,17,36,53,26,5,3,14,20
1197,OKC,42,94,44.7,15,38,39.5,18,23,78.3,10,37,47,29,10,5,13,27
1198,TOR,37,87,42.5,14,39,35.9,21,28,75.0,8,29,37,24,9,5,6,25
1199,BOS,42,87,48.3,19,47,40.4,23,28,82.1,7,30,37,24,5,6,8,21
1200,SAS,43,89,48.3,16,38,42.1,12,15,80.0,12,31,43,27,5,7,14,20
1201,MEM,34,79,43.0,9,33,27.3,19,24,79.2,6,23,29,20,4,8,18,29
1202,LAC,41,81,50.6,9,22,40.9,20,22,90.9,5,35,40,24,8,3,13,21
1203,SAS,44,81,54.3,17,31,54.8,32,44,72.7,7,30,37,34,9,4,17,22
1204,UTA,49,111,44.1,20,50,40.0,14,21,66.7,19,35,54,39,11,8,13,23
1205,NOP,42,89,47.2,8,22,36.4,32,37,86.5,15,38,53,23,9,7,16,14
1206,MEM,45,98,45.9,19,42,45.2,20,29,69.0,17,33,50,26,8,10,12,21
1207,PHX,43,94,45.7,10,27,37.0,15,21,71.4,9,32,41,31,14,1,17,29
1208,DET,39,90,43.3,9,36,25.0,19,32,59.4,13,36,49,26,6,2,15,21
1209,BOS,41,79,51.9,14,33,42.4,15,15,100.0,12,31,43,17,4,11,20,23
1210,DEN,46,86,53.5,15,34,44.1,21,25,84.0,12,29,41,30,10,2,20,22
1211,CHI,33,79,41.8,7,27,25.9,27,33,81.8,10,28,38,19,8,3,13,15
1212,ORL,33,80,41.3,8,34,23.5,24,30,80.0,10,34,44,16,9,7,19,19
1213,TOR,41,84,48.8,11,28,39.3,12,18,66.7,8,33,41,25,9,4,15,21
1214,LAC,37,80,46.3,9,29,31.0,20,31,64.5,10,48,58,18,7,7,23,24
1215,MIL,34,84,40.5,13,42,31.0,9,14,64.3,7,41,48,24,4,6,14,16
1216,POR,39,88,44.3,11,28,39.3,26,33,78.8,11,33,44,20,11,2,11,17
1217,NOP,50,102,49.0,12,26,46.2,18,25,72.0,21,40,61,31,9,4,13,21
1218,CHI,41,93,44.1,13,36,36.1,21,28,75.0,12,34,46,23,12,6,15,26
1219,DAL,35,75,46.7,14,35,40.0,21,34,61.8,5,35,40,17,6,4,12,22
1220,WAS,42,92,45.7,11,31,35.5,19,24,79.2,14,39,53,21,5,10,17,19
1221,OKC,38,99,38.4,14,45,31.1,18,22,81.8,16,41,57,22,6,6,14,26
1222,DEN,40,83,48.2,5,22,22.7,17,18,94.4,10,25,35,21,10,3,21,23
1223,NYK,44,109,40.4,9,37,24.3,15,18,83.3,18,36,54,28,7,5,12,26
1224,CLE,38,77,49.4,10,28,35.7,19,23,82.6,6,32,38,25,5,5,17,21
1225,HOU,42,98,42.9,9,35,25.7,14,15,93.3,15,39,54,25,4,3,16,20
1226,ORL,42,86,48.8,11,30,36.7,14,19,73.7,10,38,48,21,5,5,18,24
1227,CHA,48,94,51.1,13,29,44.8,20,23,87.0,14,37,51,26,7,10,15,20
1228,PHI,40,80,50.0,13,34,38.2,24,28,85.7,4,27,31,16,8,3,14,25
1229,LAL,40,94,42.6,10,40,25.0,19,25,76.0,9,39,48,23,12,4,22,18
