,Team,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
156,NYK,48,85,56.5,14,28,50.0,24,28,85.7,7,27,34,26,7,3,17,22
157,HOU,39,93,41.9,10,36,27.8,20,24,83.3,13,28,41,14,14,2,18,14
158,CHA,41,90,45.6,10,31,32.3,23,32,71.9,10,27,37,26,12,6,11,22
159,MEM,41,89,46.1,10,35,28.6,20,26,76.9,17,33,50,21,5,3,11,18
160,SAS,51,94,54.3,14,28,50.0,10,16,62.5,10,31,41,26,9,5,12,18
161,OKC,42,84,50.0,11,28,39.3,29,36,80.6,6,38,44,20,8,3,16,20
162,DET,38,82,46.3,10,32,31.3,14,17,82.4,9,30,39,26,4,2,13,20
163,MIL,43,82,52.4,16,45,35.6,16,21,76.2,7,38,45,35,3,8,12,13
164,LAL,36,78,46.2,13,32,40.6,26,32,81.3,9,43,52,25,2,9,15,19
165,BKN,38,82,46.3,12,35,34.3,14,16,87.5,9,24,33,26,10,3,12,16
166,POR,37,82,45.1,6,29,20.7,22,24,91.7,11,29,40,24,7,9,15,14
167,HOU,31,76,40.8,9,33,27.3,36,38,94.7,8,28,36,15,4,2,13,22
168,LAC,42,90,46.7,6,22,27.3,18,24,75.0,13,30,43,23,9,3,15,24
169,TOR,48,90,53.3,9,27,33.3,17,21,81.0,9,36,45,23,11,3,15,25
170,MEM,52,95,54.7,18,38,47.4,11,17,64.7,11,28,39,35,5,5,7,24
171,UTA,42,97,43.3,17,41,41.5,17,22,77.3,17,39,56,29,3,5,7,14
172,CHI,45,80,56.3,17,34,50.0,6,6,100.0,5,27,32,34,8,5,14,18
173,NYK,41,83,49.4,9,32,28.1,25,28,89.3,15,28,43,23,9,4,12,16
174,WAS,41,91,45.1,13,36,36.1,23,27,85.2,12,34,46,27,6,5,10,18
175,IND,45,87,51.7,12,31,38.7,19,20,95.0,12,29,41,28,5,5,17,17
176,SAS,39,98,39.8,20,52,38.5,22,29,75.9,16,38,54,31,11,4,20,19
177,CHA,29,86,33.7,5,35,14.3,19,26,73.1,7,28,35,20,10,6,14,16
178,LAL,43,84,51.2,5,20,25.0,19,31,61.3,13,29,42,23,8,3,12,18
179,ATL,47,100,47.0,16,41,39.0,17,25,68.0,13,32,45,27,7,8,11,15
180,POR,38,79,48.1,14,38,36.8,22,31,71.0,8,29,37,20,12,4,19,26
181,CLE,48,87,55.2,4,19,21.1,17,22,77.3,9,32,41,31,9,7,11,19
182,CHI,51,94,54.3,11,24,45.8,26,30,86.7,6,41,47,23,9,6,12,21
183,HOU,43,88,48.9,11,32,34.4,17,24,70.8,15,37,52,20,9,3,13,19
184,DET,39,85,45.9,12,27,44.4,10,18,55.6,13,24,37,24,8,3,17,20
185,BKN,33,80,41.3,14,39,35.9,16,23,69.6,3,38,41,20,8,4,7,22
186,TOR,47,97,48.5,14,32,43.8,20,28,71.4,19,40,59,29,10,6,10,20
187,PHX,43,90,47.8,13,35,37.1,17,17,100.0,7,28,35,26,7,5,14,22
188,MIL,47,89,52.8,11,32,34.4,18,26,69.2,9,35,44,26,5,4,12,16
189,LAC,46,96,47.9,16,34,47.1,26,32,81.3,16,28,44,30,11,1,8,18
190,MIA,49,82,59.8,13,29,44.8,27,33,81.8,8,33,41,33,8,5,13,16
191,SAS,49,107,45.8,15,34,44.1,15,26,57.7,16,31,47,26,7,4,10,30
192,CHI,38,97,39.2,16,42,38.1,22,25,88.0,13,35,48,28,13,4,15,24
193,MIN,37,84,44.0,12,36,33.3,16,22,72.7,8,38,46,27,3,2,13,23
194,HOU,47,89,52.8,8,29,27.6,12,19,63.2,16,35,51,22,5,3,18,29
195,CLE,40,85,47.1,14,41,34.1,15,22,68.2,12,21,33,20,6,2,12,18
196,CHA,43,76,56.6,6,23,26.1,12,15,80.0,6,34,40,28,3,8,22,18
197,TOR,49,93,52.7,12,30,40.0,15,17,88.2,14,30,44,25,10,2,11,18
198,NOP,42,98,42.9,11,43,25.6,13,20,65.0,15,26,41,23,9,3,12,24
199,OKC,45,99,45.5,11,33,33.3,20,23,87.0,14,37,51,22,9,0,11,25
200,POR,38,99,38.4,17,45,37.8,14,18,77.8,11,27,38,22,8,3,12,19
201,PHX,41,95,43.2,8,23,34.8,14,16,87.5,8,33,41,23,7,3,11,26
202,WAS,44,85,51.8,7,32,21.9,22,22,100.0,10,38,48,24,9,9,15,12
203,SAS,48,85,56.5,22,41,53.7,14,18,77.8,7,40,47,39,6,7,15,17
204,DAL,35,90,38.9,12,46,26.1,6,8,75.0,8,33,41,23,3,3,13,16
205,MIA,37,79,46.8,14,34,41.2,31,36,86.1,9,28,37,20,12,4,13,13
206,ATL,44,97,45.4,4,22,18.2,23,28,82.1,18,33,51,17,6,4,16,19
207,SAC,46,104,44.2,21,50,42.0,11,15,73.3,15,30,45,31,4,2,9,21
208,DET,48,100,48.0,14,36,38.9,7,10,70.0,19,33,52,28,10,5,15,21
209,HOU,40,90,44.4,11,35,31.4,20,27,74.1,15,33,48,27,9,2,11,21
210,GSW,45,83,54.2,19,39,48.7,14,24,58.3,9,32,41,28,8,6,16,21
211,NOP,43,86,50.0,19,40,47.5,22,29,75.9,8,35,43,35,11,7,15,19
212,DEN,45,90,50.0,12,31,38.7,18,24,75.0,15,34,49,27,4,8,15,19
213,LAL,43,89,48.3,12,36,33.3,10,17,58.8,10,27,37,24,6,2,11,17
214,SAS,33,88,37.5,10,36,27.8,14,19,73.7,10,40,50,24,3,7,19,18
215,CHA,41,80,51.3,10,21,47.6,16,22,72.7,7,36,43,25,8,5,19,26
216,PHI,41,80,51.3,11,29,37.9,19,23,82.6,9,33,42,29,6,10,9,19
217,NOP,34,81,42.0,12,34,35.3,16,19,84.2,8,35,43,23,3,4,22,25
218,HOU,41,85,48.2,16,34,47.1,13,17,76.5,6,27,33,28,10,3,16,19
219,ATL,50,100,50.0,10,34,29.4,15,16,93.8,13,35,48,24,4,4,10,17
220,GSW,46,112,41.1,23,55,41.8,10,11,90.9,18,47,65,33,12,4,15,15
221,PHX,44,89,49.4,13,44,29.5,18,22,81.8,7,33,40,30,11,3,14,26
222,ORL,48,99,48.5,13,37,35.1,17,20,85.0,15,39,54,34,10,10,19,20
223,MEM,41,86,47.7,10,38,26.3,20,24,83.3,11,34,45,25,7,5,11,16
224,DET,43,94,45.7,11,34,32.4,18,27,66.7,12,30,42,25,7,7,12,24
225,CHA,40,98,40.8,17,40,42.5,14,15,93.3,11,32,43,24,5,14,7,15
226,LAC,42,87,48.3,10,30,33.3,12,16,75.0,7,32,39,22,3,4,10,20
227,LAL,45,80,56.3,13,30,43.3,19,19,100.0,5,30,35,28,8,8,21,10
228,PHI,43,83,51.8,11,30,36.7,23,29,79.3,12,30,42,25,7,4,10,24
229,WAS,43,88,48.9,7,27,25.9,14,18,77.8,7,36,43,27,8,6,15,17
230,SAS,51,94,54.3,13,33,39.4,13,17,76.5,13,37,50,31,10,0,19,20
231,MIN,48,98,49.0,9,30,30.0,18,29,62.1,12,35,47,29,10,6,14,21
232,MIA,42,82,51.2,14,29,48.3,21,23,91.3,11,35,46,22,7,4,16,20
233,DET,40,89,44.9,7,21,33.3,16,20,80.0,17,31,48,20,5,4,19,22
234,ORL,44,94,46.8,16,34,47.1,20,31,64.5,12,24,36,21,9,4,10,16
235,MEM,50,93,53.8,18,40,45.0,13,18,72.2,9,33,42,36,6,3,14,18
236,SAC,44,84,52.4,10,32,31.3,24,32,75.0,6,36,42,28,10,3,12,21
237,MIL,44,104,42.3,19,50,38.0,11,14,78.6,20,41,61,33,8,12,16,14
238,IND,48,100,48.0,18,45,40.0,20,21,95.2,8,34,42,34,12,15,12,21
239,LAC,39,71,54.9,6,20,30.0,24,31,77.4,9,35,44,23,9,4,17,18
240,NOP,42,83,50.6,13,27,48.1,16,18,88.9,9,40,49,32,4,6,15,19
241,DEN,37,88,42.0,15,40,37.5,7,15,46.7,11,33,44,26,5,2,11,16
242,PHX,49,94,52.1,20,43,46.5,14,16,87.5,14,40,54,31,10,7,15,17
243,MIA,35,70,50.0,8,29,27.6,22,29,75.9,10,27,37,22,7,4,24,19
244,BOS,42,88,47.7,18,49,36.7,13,20,65.0,5,40,45,26,9,2,11,20
245,WAS,47,83,56.6,12,29,41.4,14,17,82.4,6,33,39,34,9,1,19,16
246,ORL,50,100,50.0,9,30,30.0,14,19,73.7,10,28,38,24,7,0,13,22
247,OKC,50,94,53.2,17,37,45.9,20,24,83.3,13,31,44,28,10,2,18,17
248,MIN,34,86,39.5,11,36,30.6,15,21,71.4,6,28,34,19,9,7,11,16
