,Team,Match Up,Game Date,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
1192,NYK,NYK @ WAS,01/13/2023,W,112,41,92,44.6,8,29,27.6,22,31,71.0,14,40,54,15,3,6,7,23,4
1193,UTA,UTA vs. ORL,01/13/2023,W,112,36,83,43.4,11,35,31.4,29,40,72.5,17,42,59,15,9,11,24,18,4
1194,ORL,ORL @ UTA,01/13/2023,L,108,42,96,43.8,14,36,38.9,10,16,62.5,11,29,40,23,13,3,15,25,-4
1195,PHX,PHX @ MIN,01/13/2023,L,116,41,86,47.7,14,23,60.9,20,24,83.3,9,34,43,28,10,3,19,20,-5
1196,DET,DET vs. NOP,01/13/2023,L,110,43,90,47.8,7,30,23.3,17,24,70.8,7,35,42,20,7,3,13,23,-6
1197,NOP,NOP @ DET,01/13/2023,W,116,42,86,48.8,11,31,35.5,21,30,70.0,8,40,48,29,7,3,17,21,6
1198,POR,POR vs. CLE,01/12/2023,L,113,40,78,51.3,11,33,33.3,22,29,75.9,5,31,36,17,6,4,17,27,-6
1199,TOR,TOR vs. CHA,01/12/2023,W,124,43,83,51.8,10,28,35.7,28,36,77.8,8,24,32,30,15,4,9,23,10
1200,CLE,CLE @ POR,01/12/2023,W,119,44,89,49.4,7,22,31.8,24,31,77.4,12,32,44,28,6,1,11,19,6
1201,CHA,CHA @ TOR,01/12/2023,L,114,41,77,53.2,13,33,39.4,19,27,70.4,9,33,42,27,6,5,22,30,-10
1202,PHI,PHI vs. OKC,01/12/2023,L,114,39,88,44.3,11,36,30.6,25,27,92.6,9,30,39,30,4,3,17,29,-19
1203,LAL,LAL vs. DAL,01/12/2023,L,115,44,112,39.3,10,41,24.4,17,27,63.0,14,42,56,24,7,4,10,18,-4
1204,DAL,DAL @ LAL,01/12/2023,W,119,48,96,50.0,14,42,33.3,9,17,52.9,3,51,54,25,4,9,19,26,4
1205,BOS,BOS @ BKN,01/12/2023,W,109,41,86,47.7,12,36,33.3,15,17,88.2,12,36,48,23,4,6,14,15,11
1206,BKN,BKN vs. BOS,01/12/2023,L,98,38,84,45.2,13,34,38.2,9,11,81.8,4,27,31,26,8,9,12,19,-11
1207,MIL,MIL @ MIA,01/12/2023,L,102,35,87,40.2,22,57,38.6,10,15,66.7,8,31,39,20,10,2,11,12,-6
1208,MIA,MIA vs. MIL,01/12/2023,W,108,42,95,44.2,9,34,26.5,15,16,93.8,18,43,61,22,8,1,13,8,6
1209,OKC,OKC @ PHI,01/12/2023,W,133,44,86,51.2,14,33,42.4,31,33,93.9,5,34,39,28,7,6,11,22,19
1210,MIN,MIN @ DET,01/11/2023,L,118,43,88,48.9,16,33,48.5,16,21,76.2,13,23,36,22,7,2,19,22,-17
1211,ATL,ATL vs. MIL,01/11/2023,L,105,39,87,44.8,11,30,36.7,16,18,88.9,6,35,41,25,5,3,11,12,-9
1212,MIL,MIL @ ATL,01/11/2023,W,114,45,98,45.9,18,48,37.5,6,11,54.5,14,43,57,28,6,4,11,15,9
1213,DET,DET vs. MIN,01/11/2023,W,135,48,80,60.0,17,32,53.1,22,28,78.6,7,31,38,30,10,7,17,20,17
1214,NOP,NOP @ BOS,01/11/2023,L,114,45,87,51.7,11,30,36.7,13,17,76.5,4,29,33,22,5,4,9,17,-11
1215,BOS,BOS vs. NOP,01/11/2023,W,125,44,91,48.4,15,44,34.1,22,25,88.0,11,39,50,24,7,5,9,16,11
1216,HOU,HOU @ SAC,01/11/2023,L,115,44,96,45.8,16,41,39.0,11,17,64.7,8,40,48,30,7,3,14,23,-20
1217,MEM,MEM vs. SAS,01/11/2023,W,135,52,101,51.5,14,22,63.6,17,25,68.0,17,40,57,19,6,8,14,17,6
1218,SAS,SAS @ MEM,01/11/2023,L,129,50,107,46.7,11,34,32.4,18,23,78.3,17,31,48,33,7,11,12,18,-6
1219,CHI,CHI @ WAS,01/11/2023,L,97,41,88,46.6,9,29,31.0,6,9,66.7,8,31,39,16,7,6,12,19,-3
1220,NYK,NYK vs. IND,01/11/2023,W,119,38,84,45.2,15,42,35.7,28,33,84.8,12,38,50,21,9,4,15,16,6
1221,WAS,WAS vs. CHI,01/11/2023,W,100,38,82,46.3,7,23,30.4,17,21,81.0,12,40,52,21,5,3,18,18,3
1222,DEN,DEN vs. PHX,01/11/2023,W,126,48,85,56.5,15,34,44.1,15,21,71.4,7,31,38,30,9,4,11,20,29
1223,PHX,PHX @ DEN,01/11/2023,L,97,39,90,43.3,9,32,28.1,10,14,71.4,15,29,44,28,4,2,20,17,-29
1224,IND,IND @ NYK,01/11/2023,L,113,43,90,47.8,12,39,30.8,15,21,71.4,8,33,41,27,8,5,13,25,-6
1225,SAC,SAC vs. HOU,01/11/2023,W,135,45,94,47.9,19,48,39.6,26,31,83.9,9,36,45,28,4,4,9,19,20
1226,POR,POR vs. ORL,01/10/2023,L,106,42,87,48.3,6,35,17.1,16,19,84.2,13,30,43,22,10,7,17,22,-3
1227,ORL,ORL @ POR,01/10/2023,W,109,40,78,51.3,9,24,37.5,20,25,80.0,6,29,35,19,10,2,16,20,3
1228,GSW,GSW vs. PHX,01/10/2023,L,113,37,96,38.5,18,48,37.5,21,27,77.8,16,29,45,24,13,2,17,26,-12
1229,PHX,PHX @ GSW,01/10/2023,W,125,41,90,45.6,14,31,45.2,29,31,93.5,19,38,57,26,5,7,22,22,12
1230,TOR,TOR vs. CHA,01/10/2023,W,132,45,91,49.5,20,44,45.5,22,27,81.5,18,31,49,32,4,4,11,17,12
1231,CHA,CHA @ TOR,01/10/2023,L,120,47,86,54.7,15,35,42.9,11,15,73.3,6,28,34,33,6,4,10,19,-12
1232,LAC,LAC vs. DAL,01/10/2023,W,113,39,86,45.3,12,31,38.7,23,30,76.7,12,34,46,20,7,4,10,23,12
1233,DAL,DAL @ LAC,01/10/2023,L,101,30,69,43.5,12,38,31.6,29,36,80.6,3,29,32,15,5,6,12,17,-12
1234,PHI,PHI vs. DET,01/10/2023,W,147,54,89,60.7,11,31,35.5,28,30,93.3,10,45,55,36,7,8,19,29,31
1235,DET,DET @ PHI,01/10/2023,L,116,36,89,40.4,14,39,35.9,30,36,83.3,3,23,26,23,9,5,11,22,-31
1236,CLE,CLE @ UTA,01/10/2023,L,114,42,90,46.7,10,37,27.0,20,24,83.3,7,30,37,18,7,7,5,25,-2
1237,UTA,UTA vs. CLE,01/10/2023,W,116,38,87,43.7,10,36,27.8,30,37,81.1,15,39,54,21,3,3,16,17,2
1238,OKC,OKC @ MIA,01/10/2023,L,111,44,91,48.4,9,35,25.7,14,21,66.7,14,30,44,27,8,3,19,27,-1
1239,MIA,MIA vs. OKC,01/10/2023,W,112,31,79,39.2,10,33,30.3,40,40,100.0,13,28,41,18,10,4,20,19,1
1240,ORL,ORL @ SAC,01/09/2023,L,111,41,90,45.6,14,44,31.8,15,20,75.0,9,32,41,24,7,7,13,18,-25
1241,LAL,LAL @ DEN,01/09/2023,L,109,41,93,44.1,8,28,28.6,19,25,76.0,11,33,44,20,12,2,14,14,-13
1242,DEN,DEN vs. LAL,01/09/2023,W,122,46,99,46.5,15,42,35.7,15,17,88.2,14,41,55,29,7,11,17,19,13
1243,SAC,SAC vs. ORL,01/09/2023,W,136,52,97,53.6,23,46,50.0,9,12,75.0,11,37,48,39,4,1,11,16,25
1244,WAS,WAS vs. NOP,01/09/2023,L,112,42,82,51.2,14,34,41.2,14,18,77.8,7,30,37,26,5,1,20,25,-20
1245,NOP,NOP @ WAS,01/09/2023,W,132,49,93,52.7,10,26,38.5,24,31,77.4,12,32,44,24,9,5,10,21,20
1246,MEM,MEM vs. SAS,01/09/2023,W,121,45,91,49.5,11,26,42.3,20,35,57.1,11,39,50,26,9,7,14,15,8
1247,SAS,SAS @ MEM,01/09/2023,L,113,44,97,45.4,11,32,34.4,14,16,87.5,12,30,42,28,8,1,14,24,-8
1248,MIL,MIL @ NYK,01/09/2023,W,111,39,89,43.8,19,49,38.8,14,18,77.8,12,36,48,27,3,5,14,17,4
1249,NYK,NYK vs. MIL,01/09/2023,L,107,38,100,38.0,11,41,26.8,20,22,90.9,18,30,48,16,8,1,7,14,-4
1250,BOS,BOS vs. CHI,01/09/2023,W,107,38,87,43.7,11,41,26.8,20,21,95.2,9,41,50,25,2,7,9,12,8
1251,CHI,CHI @ BOS,01/09/2023,L,99,39,86,45.3,12,35,34.3,9,14,64.3,6,36,42,19,6,1,8,18,-8
1252,PHX,PHX vs. CLE,01/08/2023,L,98,37,84,44.0,14,26,53.8,10,11,90.9,6,30,36,22,7,2,16,14,-14
1253,CLE,CLE @ PHX,01/08/2023,W,112,45,78,57.7,11,29,37.9,11,17,64.7,3,36,39,29,8,5,14,12,14
1254,CHA,CHA @ IND,01/08/2023,L,111,38,88,43.2,11,33,33.3,24,27,88.9,13,36,49,25,8,4,18,26,-5
1255,HOU,HOU vs. MIN,01/08/2023,L,96,38,89,42.7,11,36,30.6,9,15,60.0,12,29,41,26,8,7,20,19,-8
1256,MIN,MIN @ HOU,01/08/2023,W,104,38,80,47.5,10,28,35.7,18,22,81.8,9,35,44,23,8,4,19,18,8
1257,IND,IND vs. CHA,01/08/2023,W,116,38,87,43.7,13,38,34.2,27,33,81.8,8,33,41,27,14,7,16,22,5
1258,PHI,PHI @ DET,01/08/2023,W,123,46,94,48.9,11,37,29.7,20,23,87.0,14,30,44,24,12,5,14,17,12
1259,UTA,UTA @ MEM,01/08/2023,L,118,45,88,51.1,10,32,31.3,18,22,81.8,8,38,46,29,7,9,21,18,-5
1260,MEM,MEM vs. UTA,01/08/2023,W,123,46,102,45.1,15,38,39.5,16,22,72.7,13,26,39,28,16,7,10,19,5
1261,POR,POR @ TOR,01/08/2023,L,105,34,76,44.7,9,30,30.0,28,37,75.7,10,32,42,19,5,4,24,24,-12
1262,TOR,TOR vs. POR,01/08/2023,W,117,40,91,44.0,12,31,38.7,25,29,86.2,13,28,41,26,12,8,10,28,12
1263,ATL,ATL @ LAC,01/08/2023,W,112,44,89,49.4,8,26,30.8,16,20,80.0,7,36,43,22,7,9,9,18,4
1264,LAC,LAC vs. ATL,01/08/2023,L,108,37,95,38.9,10,30,33.3,24,31,77.4,21,38,59,25,6,5,11,19,-4
1265,DET,DET vs. PHI,01/08/2023,L,111,44,87,50.6,8,23,34.8,15,18,83.3,10,33,43,25,9,2,23,20,-12
1266,OKC,OKC vs. DAL,01/08/2023,W,120,46,95,48.4,12,28,42.9,16,20,80.0,13,35,48,27,5,8,8,26,11
1267,DAL,DAL @ OKC,01/08/2023,L,109,31,73,42.5,14,39,35.9,33,42,78.6,8,31,39,21,3,1,13,19,-11
1268,MIA,MIA vs. BKN,01/08/2023,L,101,38,92,41.3,13,35,37.1,12,17,70.6,16,25,41,22,8,4,12,17,-1
1269,BKN,BKN @ MIA,01/08/2023,W,102,39,76,51.3,12,33,36.4,12,15,80.0,6,34,40,22,8,8,19,21,1
1270,NOP,NOP @ DAL,01/07/2023,L,117,45,94,47.9,5,29,17.2,22,35,62.9,15,29,44,26,14,4,13,25,-10
1271,DAL,DAL vs. NOP,01/07/2023,W,127,42,74,56.8,13,29,44.8,30,38,78.9,5,34,39,23,5,7,17,24,10
1272,SAC,SAC vs. LAL,01/07/2023,L,134,45,86,52.3,14,32,43.8,30,37,81.1,13,21,34,25,5,4,14,26,-2
1273,LAL,LAL @ SAC,01/07/2023,W,136,50,82,61.0,9,21,42.9,27,33,81.8,10,28,38,26,4,3,17,25,2
1274,UTA,UTA @ CHI,01/07/2023,L,118,46,93,49.5,12,41,29.3,14,18,77.8,7,32,39,36,6,2,10,24,-8
1275,CHI,CHI vs. UTA,01/07/2023,W,126,44,83,53.0,13,28,46.4,25,32,78.1,7,37,44,22,4,4,10,22,8
1276,SAS,SAS vs. BOS,01/07/2023,L,116,49,100,49.0,7,25,28.0,11,14,78.6,12,39,51,25,6,3,13,20,-5
1277,BOS,BOS @ SAS,01/07/2023,W,121,47,95,49.5,15,34,44.1,12,18,66.7,8,35,43,30,6,10,14,15,5
1278,GSW,GSW vs. ORL,01/07/2023,L,101,33,88,37.5,18,58,31.0,17,21,81.0,11,38,49,26,7,1,16,17,-14
1279,ORL,ORL @ GSW,01/07/2023,W,115,44,87,50.6,13,32,40.6,14,24,58.3,7,37,44,26,12,2,11,14,14
1280,NOP,NOP vs. BKN,01/06/2023,L,102,35,88,39.8,12,29,41.4,20,25,80.0,14,37,51,16,7,4,16,20,-6
1281,WAS,WAS @ OKC,01/06/2023,L,110,38,79,48.1,7,24,29.2,27,36,75.0,11,35,46,21,6,2,20,18,-17
1282,OKC,OKC vs. WAS,01/06/2023,W,127,50,98,51.0,17,37,45.9,10,14,71.4,11,30,41,30,9,6,10,26,17
1283,CHI,CHI @ PHI,01/06/2023,W,126,48,84,57.1,20,34,58.8,10,17,58.8,8,37,45,33,3,4,12,14,14
1284,PHI,PHI vs. CHI,01/06/2023,L,112,40,92,43.5,18,41,43.9,14,18,77.8,12,26,38,28,6,3,7,15,-14
1285,TOR,TOR vs. NYK,01/06/2023,L,108,35,83,42.2,10,29,34.5,28,35,80.0,12,34,46,22,7,3,7,23,-4
1286,NYK,NYK @ TOR,01/06/2023,W,112,39,83,47.0,16,37,43.2,18,26,69.2,13,38,51,19,3,4,13,23,4
1287,DET,DET @ SAS,01/06/2023,L,109,44,93,47.3,11,31,35.5,10,17,58.8,15,22,37,23,11,0,16,22,-12
1288,SAS,SAS vs. DET,01/06/2023,W,121,45,81,55.6,9,24,37.5,22,26,84.6,7,37,44,27,8,4,18,16,12
1289,MIA,MIA @ PHX,01/06/2023,W,104,33,78,42.3,12,38,31.6,26,31,83.9,5,32,37,19,10,3,13,14,8
1290,PHX,PHX vs. MIA,01/06/2023,L,96,34,82,41.5,6,23,26.1,22,25,88.0,8,36,44,22,5,2,14,20,-8
1291,IND,IND vs. POR,01/06/2023,W,108,38,84,45.2,7,25,28.0,25,28,89.3,4,37,41,22,11,6,14,22,9
1292,POR,POR @ IND,01/06/2023,L,99,38,94,40.4,9,33,27.3,14,17,82.4,12,40,52,30,5,1,18,19,-9
1293,BKN,BKN @ NOP,01/06/2023,W,108,37,85,43.5,15,33,45.5,19,20,95.0,10,33,43,26,8,12,13,23,6
1294,MIL,MIL vs. CHA,01/06/2023,L,109,37,84,44.0,20,48,41.7,15,24,62.5,12,33,45,22,5,4,17,18,-29
1295,CHA,CHA @ MIL,01/06/2023,W,138,53,102,52.0,20,48,41.7,12,19,63.2,13,36,49,32,11,3,5,17,29
1296,DEN,DEN vs. CLE,01/06/2023,W,121,43,81,53.1,17,35,48.6,18,23,78.3,13,36,49,28,5,4,14,23,13
1297,CLE,CLE @ DEN,01/06/2023,L,108,40,88,45.5,10,26,38.5,18,32,56.3,18,22,40,30,7,5,7,18,-13
1298,LAL,LAL vs. ATL,01/06/2023,W,130,51,93,54.8,16,35,45.7,12,16,75.0,7,44,51,33,6,5,18,18,16
1299,ATL,ATL @ LAL,01/06/2023,L,114,44,96,45.8,9,31,29.0,17,22,77.3,7,32,39,24,8,5,12,15,-16
1300,MIN,MIN vs. LAC,01/06/2023,W,128,46,81,56.8,13,35,37.1,23,29,79.3,10,35,45,28,4,7,20,22,13
1301,LAC,LAC @ MIN,01/06/2023,L,115,44,100,44.0,9,25,36.0,18,27,66.7,18,22,40,22,13,3,10,19,-13
1302,LAC,LAC @ DEN,01/05/2023,L,91,34,91,37.4,5,37,13.5,18,25,72.0,8,33,41,24,7,3,8,14,-31
1303,DEN,DEN vs. LAC,01/05/2023,W,122,45,89,50.6,14,36,38.9,18,21,85.7,10,47,57,28,6,5,12,16,31
1304,BOS,BOS @ DAL,01/05/2023,W,124,41,84,48.8,16,43,37.2,26,31,83.9,10,42,52,29,6,8,11,22,29
1305,DAL,DAL vs. BOS,01/05/2023,L,95,34,90,37.8,7,32,21.9,20,25,80.0,11,31,42,15,4,3,11,19,-29
1306,HOU,HOU vs. UTA,01/05/2023,L,114,38,92,41.3,15,42,35.7,23,26,88.5,14,35,49,19,4,3,15,21,-17
1307,UTA,UTA @ HOU,01/05/2023,W,131,46,93,49.5,19,48,39.6,20,21,95.2,9,33,42,33,10,5,8,20,17
1308,ORL,ORL vs. MEM,01/05/2023,L,115,39,84,46.4,11,36,30.6,26,30,86.7,7,32,39,23,6,3,11,22,-8
1309,MEM,MEM @ ORL,01/05/2023,W,123,48,92,52.2,12,36,33.3,15,23,65.2,9,40,49,24,5,3,13,22,8
1310,SAC,SAC vs. ATL,01/04/2023,L,117,41,88,46.6,10,25,40.0,25,27,92.6,10,32,42,26,9,3,11,19,-3
1311,ATL,ATL @ SAC,01/04/2023,W,120,45,84,53.6,10,30,33.3,20,22,90.9,7,37,44,21,9,4,16,21,3
1312,GSW,GSW vs. DET,01/04/2023,L,119,45,87,51.7,15,40,37.5,14,15,93.3,9,31,40,31,3,4,14,20,-3
1313,DET,DET @ GSW,01/04/2023,W,122,45,92,48.9,16,36,44.4,16,23,69.6,11,30,41,29,9,1,10,11,3
1314,BKN,BKN @ CHI,01/04/2023,L,112,42,91,46.2,12,37,32.4,16,21,76.2,5,29,34,24,9,7,11,22,-9
1315,CHI,CHI vs. BKN,01/04/2023,W,121,43,81,53.1,8,20,40.0,27,29,93.1,6,40,46,21,7,7,17,16,9
1316,NYK,NYK vs. SAS,01/04/2023,W,117,45,94,47.9,10,31,32.3,17,26,65.4,14,33,47,16,7,6,14,21,3
1317,SAS,SAS @ NYK,01/04/2023,L,114,41,82,50.0,11,28,39.3,21,26,80.8,9,29,38,25,5,3,17,24,-3
1318,MEM,MEM @ CHA,01/04/2023,W,131,47,94,50.0,9,30,30.0,28,37,75.7,11,48,59,28,10,8,14,16,24
1319,CHA,CHA vs. MEM,01/04/2023,L,107,38,94,40.4,11,38,28.9,20,24,83.3,10,34,44,25,11,8,12,23,-24
1320,MIN,MIN vs. POR,01/04/2023,W,113,39,76,51.3,9,24,37.5,26,36,72.2,8,25,33,25,8,6,15,30,7
1321,POR,POR @ MIN,01/04/2023,L,106,33,75,44.0,9,29,31.0,31,42,73.8,12,27,39,18,8,7,18,30,-7
1322,OKC,OKC @ ORL,01/04/2023,L,115,36,89,40.4,15,37,40.5,28,31,90.3,9,24,33,23,9,3,9,23,-11
1323,ORL,ORL vs. OKC,01/04/2023,W,126,42,81,51.9,13,33,39.4,29,36,80.6,13,36,49,26,6,5,17,22,11
1324,TOR,TOR vs. MIL,01/04/2023,L,101,38,116,32.8,9,46,19.6,16,20,80.0,14,33,47,22,10,4,9,23,-3
1325,MIL,MIL @ TOR,01/04/2023,W,104,35,88,39.8,13,39,33.3,21,30,70.0,13,60,73,26,4,4,28,24,3
1326,NOP,NOP vs. HOU,01/04/2023,W,119,41,89,46.1,14,38,36.8,23,26,88.5,15,36,51,25,6,6,15,19,11
1327,HOU,HOU @ NOP,01/04/2023,L,108,39,88,44.3,12,38,31.6,18,27,66.7,12,31,43,25,10,4,13,22,-11
1328,IND,IND @ PHI,01/04/2023,L,126,45,95,47.4,13,36,36.1,23,26,88.5,13,32,45,31,7,8,13,18,-3
1329,PHI,PHI vs. IND,01/04/2023,W,129,48,98,49.0,14,36,38.9,19,22,86.4,14,32,46,24,4,7,11,19,3
1330,LAL,LAL vs. MIA,01/04/2023,W,112,40,81,49.4,8,27,29.6,24,30,80.0,9,33,42,20,10,4,17,18,3
1331,MIA,MIA @ LAL,01/04/2023,L,109,43,95,45.3,8,29,27.6,15,21,71.4,14,29,43,24,9,4,13,20,-3
1332,CLE,CLE vs. PHX,01/04/2023,W,90,30,77,39.0,11,36,30.6,19,23,82.6,7,39,46,15,9,4,15,17,2
1333,PHX,PHX @ CLE,01/04/2023,L,88,32,81,39.5,10,28,35.7,14,18,77.8,8,41,49,24,8,3,15,19,-2
1334,OKC,OKC vs. BOS,01/03/2023,W,150,58,98,59.2,20,40,50.0,14,22,63.6,9,35,44,31,14,3,13,23,33
1335,BOS,BOS @ OKC,01/03/2023,L,117,40,88,45.5,12,40,30.0,25,31,80.6,11,27,38,29,4,7,17,15,-33
1336,MIL,MIL vs. WAS,01/03/2023,W,123,48,100,48.0,11,40,27.5,16,17,94.1,15,34,49,27,8,6,12,14,10
1337,WAS,WAS @ MIL,01/03/2023,L,113,42,97,43.3,8,27,29.6,21,23,91.3,14,32,46,27,9,4,10,16,-10
1338,UTA,UTA vs. SAC,01/03/2023,L,115,38,88,43.2,13,44,29.5,26,29,89.7,12,32,44,21,9,3,16,19,-2
1339,SAC,SAC @ UTA,01/03/2023,W,117,46,86,53.5,9,32,28.1,16,18,88.9,7,33,40,23,7,4,18,26,2
1340,IND,IND vs. TOR,01/02/2023,W,122,45,93,48.4,10,27,37.0,22,26,84.6,15,35,50,24,4,2,13,19,8
1341,PHI,PHI vs. NOP,01/02/2023,W,120,41,86,47.7,15,35,42.9,23,28,82.1,7,28,35,26,9,6,10,22,9
1342,NOP,NOP @ PHI,01/02/2023,L,111,42,84,50.0,11,29,37.9,16,20,80.0,10,39,49,26,3,6,17,22,-9
1343,DET,DET @ POR,01/02/2023,L,106,34,82,41.5,6,18,33.3,32,41,78.0,9,36,45,16,8,4,21,27,-29
1344,ATL,ATL @ GSW,01/02/2023,L,141,53,109,48.6,11,35,31.4,24,29,82.8,10,43,53,30,9,10,13,17,-2
1345,GSW,GSW vs. ATL,01/02/2023,W,143,54,121,44.6,19,59,32.2,16,24,66.7,23,46,69,34,9,6,19,23,2
1346,POR,POR vs. DET,01/02/2023,W,135,48,84,57.1,14,31,45.2,25,35,71.4,6,38,44,29,16,6,18,27,29
1347,SAS,SAS @ BKN,01/02/2023,L,103,42,97,43.3,8,31,25.8,11,18,61.1,15,28,43,26,5,4,18,13,-36
1348,LAC,LAC vs. MIA,01/02/2023,L,100,29,67,43.3,12,29,41.4,30,34,88.2,3,31,34,19,7,1,15,18,-10
1349,TOR,TOR @ IND,01/02/2023,L,114,41,91,45.1,14,42,33.3,18,23,78.3,12,24,36,26,5,11,11,27,-8
1350,MIA,MIA @ LAC,01/02/2023,W,110,39,85,45.9,12,36,33.3,20,24,83.3,12,36,48,22,7,2,11,23,10
1351,BKN,BKN vs. SAS,01/02/2023,W,139,58,93,62.4,11,20,55.0,12,15,80.0,7,38,45,31,13,7,13,16,36
1352,CHA,CHA vs. LAL,01/02/2023,L,115,42,93,45.2,11,32,34.4,20,29,69.0,8,39,47,24,8,7,14,22,-6
1353,LAL,LAL @ CHA,01/02/2023,W,121,45,93,48.4,10,30,33.3,21,30,70.0,9,44,53,26,6,5,15,21,6
1354,CHI,CHI @ CLE,01/02/2023,L,134,47,95,49.5,10,33,30.3,30,34,88.2,6,36,42,22,8,2,7,33,-11
1355,CLE,CLE vs. CHI,01/02/2023,W,145,48,92,52.2,16,46,34.8,33,45,73.3,13,34,47,27,1,3,10,27,11
1356,HOU,HOU vs. DAL,01/02/2023,L,106,38,82,46.3,9,29,31.0,21,29,72.4,8,38,46,21,4,4,10,28,-5
1357,DAL,DAL @ HOU,01/02/2023,W,111,34,81,42.0,13,43,30.2,30,34,88.2,8,33,41,19,8,6,8,19,5
1358,PHX,PHX @ NYK,01/02/2023,L,83,34,87,39.1,10,37,27.0,5,7,71.4,5,31,36,22,4,0,8,17,-19
1359,NYK,NYK vs. PHX,01/02/2023,W,102,36,74,48.6,13,33,39.4,17,25,68.0,5,40,45,26,1,2,8,13,19
1360,DEN,DEN @ MIN,01/02/2023,L,111,42,91,46.2,11,29,37.9,16,20,80.0,18,27,45,27,8,1,15,21,-13
1361,MIN,MIN vs. DEN,01/02/2023,W,124,45,87,51.7,13,36,36.1,21,27,77.8,11,30,41,29,7,4,12,22,13
1362,MIL,MIL vs. WAS,01/01/2023,L,95,34,96,35.4,13,49,26.5,14,15,93.3,14,30,44,22,11,3,16,15,-23
1363,BOS,BOS @ DEN,01/01/2023,L,111,40,87,46.0,9,33,27.3,22,27,81.5,10,31,41,30,8,3,13,15,-12
1364,DEN,DEN vs. BOS,01/01/2023,W,123,45,79,57.0,17,30,56.7,16,18,88.9,1,34,35,31,5,4,17,17,12
1365,WAS,WAS @ MIL,01/01/2023,W,118,50,94,53.2,7,27,25.9,11,16,68.8,12,42,54,29,9,6,18,10,23
1366,MEM,MEM vs. SAC,01/01/2023,W,118,46,100,46.0,10,32,31.3,16,24,66.7,21,36,57,25,11,8,12,18,10
1367,SAC,SAC @ MEM,01/01/2023,L,108,39,96,40.6,15,43,34.9,15,15,100.0,14,33,47,24,7,4,16,18,-10
1368,NYK,NYK @ HOU,12/31/2022,W,108,35,90,38.9,15,51,29.4,23,32,71.9,16,30,46,20,10,5,10,20,20
1369,HOU,HOU vs. NYK,12/31/2022,L,88,29,77,37.7,14,46,30.4,16,23,69.6,12,40,52,20,4,6,25,24,-20
1370,MEM,MEM vs. NOP,12/31/2022,W,116,47,92,51.1,5,29,17.2,17,22,77.3,13,39,52,26,14,11,19,27,15
1371,NOP,NOP @ MEM,12/31/2022,L,101,32,91,35.2,8,30,26.7,29,36,80.6,15,31,46,16,6,4,20,21,-15
1372,LAC,LAC @ IND,12/31/2022,L,130,43,80,53.8,16,34,47.1,28,29,96.6,8,31,39,23,7,6,16,23,-1
1373,IND,IND vs. LAC,12/31/2022,W,131,46,88,52.3,14,38,36.8,25,29,86.2,8,28,36,28,10,4,12,20,1
1374,CHA,CHA vs. BKN,12/31/2022,L,106,38,96,39.6,11,41,26.8,19,21,90.5,14,31,45,28,7,2,12,17,-17
1375,SAS,SAS vs. DAL,12/31/2022,L,125,47,85,55.3,8,19,42.1,23,32,71.9,15,33,48,28,1,0,13,21,-1
1376,DAL,DAL @ SAS,12/31/2022,W,126,50,86,58.1,14,34,41.2,12,21,57.1,6,20,26,21,5,3,5,24,1
1377,BKN,BKN @ CHA,12/31/2022,W,123,48,80,60.0,13,34,38.2,14,19,73.7,2,40,42,26,7,6,14,16,17
1378,MIA,MIA @ UTA,12/31/2022,W,126,45,89,50.6,13,39,33.3,23,30,76.7,10,27,37,32,10,1,12,32,3
1379,UTA,UTA vs. MIA,12/31/2022,L,123,35,81,43.2,17,40,42.5,36,44,81.8,16,33,49,23,6,3,16,23,-3
1380,DET,DET @ MIN,12/31/2022,W,116,43,89,48.3,10,27,37.0,20,28,71.4,15,37,52,21,6,6,14,22,12
1381,MIN,MIN vs. DET,12/31/2022,L,104,36,83,43.4,10,34,29.4,22,26,84.6,9,30,39,17,6,5,15,22,-12
1382,CLE,CLE @ CHI,12/31/2022,W,103,39,85,45.9,13,38,34.2,12,19,63.2,15,35,50,20,9,5,21,18,1
1383,CHI,CHI vs. CLE,12/31/2022,L,102,39,81,48.1,7,21,33.3,17,24,70.8,9,31,40,14,15,6,15,15,-1
1384,OKC,OKC vs. PHI,12/31/2022,L,96,35,92,38.0,12,36,33.3,14,22,63.6,15,35,50,16,7,6,16,21,-19
1385,PHI,PHI @ OKC,12/31/2022,W,115,46,99,46.5,11,34,32.4,12,17,70.6,14,42,56,29,7,9,13,24,19
1386,ORL,ORL vs. WAS,12/30/2022,L,100,42,100,42.0,5,27,18.5,11,16,68.8,8,27,35,24,8,2,11,18,-19
1387,ATL,ATL vs. LAL,12/30/2022,L,121,48,101,47.5,11,38,28.9,14,20,70.0,12,29,41,22,6,5,10,19,-9
1388,DET,DET @ CHI,12/30/2022,L,118,41,86,47.7,17,39,43.6,19,24,79.2,13,22,35,28,8,1,16,16,-14
1389,CHI,CHI vs. DET,12/30/2022,W,132,53,92,57.6,12,27,44.4,14,15,93.3,12,26,38,21,10,4,14,20,14
1390,NOP,NOP vs. PHI,12/30/2022,W,127,43,80,53.8,15,31,48.4,26,36,72.2,7,29,36,19,14,3,14,20,11
