,Team,Match Up,Game Date,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
371,SAC,SAC @ BKN,03/16/2023,W,101,32,82,39.0,13,41,31.7,24,32,75.0,13,44,57,22,2,5,12,17,5
372,TOR,TOR vs. OKC,03/16/2023,W,128,47,97,48.5,14,32,43.8,20,28,71.4,19,40,59,29,10,6,10,20,17
373,OKC,OKC @ TOR,03/16/2023,L,111,40,94,42.6,13,31,41.9,18,20,90.0,11,28,39,18,5,4,13,17,-17
374,ORL,ORL @ PHX,03/16/2023,L,113,43,86,50.0,8,28,28.6,19,23,82.6,11,36,47,25,7,3,19,20,-3
375,PHX,PHX vs. ORL,03/16/2023,W,116,43,90,47.8,13,35,37.1,17,17,100.0,7,28,35,26,7,5,14,22,3
376,IND,IND @ MIL,03/16/2023,W,139,54,97,55.7,22,46,47.8,9,15,60.0,8,34,42,36,5,3,10,20,16
377,MIL,MIL vs. IND,03/16/2023,L,123,47,89,52.8,11,32,34.4,18,26,69.2,9,35,44,26,5,4,12,16,-16
378,LAC,LAC vs. GSW,03/15/2023,W,134,46,96,47.9,16,34,47.1,26,32,81.3,16,28,44,30,11,1,8,18,8
379,GSW,GSW @ LAC,03/15/2023,L,126,49,88,55.7,17,36,47.2,11,15,73.3,7,29,36,28,5,1,16,25,-8
380,MIA,MIA vs. MEM,03/15/2023,W,138,49,82,59.8,13,29,44.8,27,33,81.8,8,33,41,33,8,5,13,16,19
381,MEM,MEM @ MIA,03/15/2023,L,119,46,91,50.5,18,46,39.1,9,14,64.3,12,27,39,29,6,1,16,20,-19
382,DAL,DAL @ SAS,03/15/2023,W,137,44,86,51.2,17,33,51.5,32,37,86.5,10,42,52,23,4,4,19,25,9
383,SAS,SAS vs. DAL,03/15/2023,L,128,49,107,45.8,15,34,44.1,15,26,57.7,16,31,47,26,7,4,10,30,-9
384,SAC,SAC @ CHI,03/15/2023,W,117,38,78,48.7,18,42,42.9,23,29,79.3,5,40,45,26,6,3,20,19,3
385,CHI,CHI vs. SAC,03/15/2023,L,114,38,97,39.2,16,42,38.1,22,25,88.0,13,35,48,28,13,4,15,24,-3
386,BOS,BOS @ MIN,03/15/2023,W,104,34,84,40.5,12,40,30.0,24,30,80.0,8,36,44,20,7,5,11,22,2
387,MIN,MIN vs. BOS,03/15/2023,L,102,37,84,44.0,12,36,33.3,16,22,72.7,8,38,46,27,3,2,13,23,-2
388,LAL,LAL @ HOU,03/15/2023,L,110,34,90,37.8,11,44,25.0,31,37,83.8,11,25,36,21,7,3,10,17,-4
389,HOU,HOU vs. LAL,03/15/2023,W,114,47,89,52.8,8,29,27.6,12,19,63.2,16,35,51,22,5,3,18,29,4
390,CLE,CLE vs. PHI,03/15/2023,L,109,40,85,47.1,14,41,34.1,15,22,68.2,12,21,33,20,6,2,12,18,-9
391,PHI,PHI @ CLE,03/15/2023,W,118,39,75,52.0,17,36,47.2,23,27,85.2,13,33,46,24,8,6,20,21,9
392,CHA,CHA vs. CLE,03/14/2023,L,104,43,76,56.6,6,23,26.1,12,15,80.0,6,34,40,28,3,8,22,18,-16
393,CLE,CLE @ CHA,03/14/2023,W,120,45,88,51.1,14,30,46.7,16,19,84.2,8,22,30,29,8,6,9,19,16
394,DEN,DEN @ TOR,03/14/2023,L,110,42,76,55.3,6,25,24.0,20,25,80.0,4,28,32,29,9,4,14,17,-15
395,NOP,NOP vs. LAL,03/14/2023,L,108,42,98,42.9,11,43,25.6,13,20,65.0,15,26,41,23,9,3,12,24,-15
396,OKC,OKC vs. BKN,03/14/2023,W,121,45,99,45.5,11,33,33.3,20,23,87.0,14,37,51,22,9,0,11,25,14
397,POR,POR vs. NYK,03/14/2023,L,107,38,99,38.4,17,45,37.8,14,18,77.8,11,27,38,22,8,3,12,19,-16
398,NYK,NYK @ POR,03/14/2023,W,123,42,81,51.9,15,35,42.9,24,34,70.6,9,43,52,23,8,8,13,13,16
399,BKN,BKN @ OKC,03/14/2023,L,107,35,82,42.7,12,41,29.3,25,34,73.5,11,35,46,25,3,5,17,20,-14
400,PHX,PHX vs. MIL,03/14/2023,L,104,41,95,43.2,8,23,34.8,14,16,87.5,8,33,41,23,7,3,11,26,-12
401,MIL,MIL @ PHX,03/14/2023,W,116,40,85,47.1,12,39,30.8,24,37,64.9,13,33,46,24,8,6,13,15,12
402,TOR,TOR vs. DEN,03/14/2023,W,125,49,93,52.7,12,30,40.0,15,17,88.2,14,30,44,25,10,2,11,18,15
403,LAL,LAL @ NOP,03/14/2023,W,123,40,82,48.8,18,39,46.2,25,28,89.3,15,37,52,24,8,2,18,16,15
404,DET,DET @ WAS,03/14/2023,L,97,38,99,38.4,10,34,29.4,11,12,91.7,19,25,44,18,8,3,11,19,-20
405,WAS,WAS vs. DET,03/14/2023,W,117,44,85,51.8,7,32,21.9,22,22,100.0,10,38,48,24,9,9,15,12,20
406,SAS,SAS vs. ORL,03/14/2023,W,132,48,85,56.5,22,41,53.7,14,18,77.8,7,40,47,39,6,7,15,17,18
407,ORL,ORL @ SAS,03/14/2023,L,114,44,97,45.4,10,29,34.5,16,21,76.2,13,29,42,24,7,2,9,16,-18
408,MEM,MEM @ DAL,03/13/2023,W,104,38,83,45.8,12,37,32.4,16,19,84.2,7,40,47,23,9,3,16,17,16
409,DAL,DAL vs. MEM,03/13/2023,L,88,35,90,38.9,12,46,26.1,6,8,75.0,8,33,41,23,3,3,13,16,-16
410,UTA,UTA @ MIA,03/13/2023,L,115,43,90,47.8,16,38,42.1,13,18,72.2,16,32,48,31,7,4,18,25,-4
411,MIA,MIA vs. UTA,03/13/2023,W,119,37,79,46.8,14,34,41.2,31,36,86.1,9,28,37,20,12,4,13,13,4
412,ATL,ATL vs. MIN,03/13/2023,L,115,44,97,45.4,4,22,18.2,23,28,82.1,18,33,51,17,6,4,16,19,-21
413,SAC,SAC vs. MIL,03/13/2023,L,124,46,104,44.2,21,50,42.0,11,15,73.3,15,30,45,31,4,2,9,21,-9
414,DET,DET vs. IND,03/13/2023,W,117,48,100,48.0,14,36,38.9,7,10,70.0,19,33,52,28,10,5,15,21,20
415,IND,IND @ DET,03/13/2023,L,97,36,86,41.9,10,34,29.4,15,24,62.5,13,29,42,23,7,5,16,15,-20
416,BOS,BOS @ HOU,03/13/2023,L,109,39,87,44.8,12,42,28.6,19,21,90.5,10,28,38,19,7,5,14,22,-2
417,GSW,GSW vs. PHX,03/13/2023,W,123,45,83,54.2,19,39,48.7,14,24,58.3,9,32,41,28,8,6,16,21,11
418,PHX,PHX @ GSW,03/13/2023,L,112,46,95,48.4,4,21,19.0,16,22,72.7,17,30,47,25,8,4,14,23,-11
419,HOU,HOU vs. BOS,03/13/2023,W,111,40,90,44.4,11,35,31.4,20,27,74.1,15,33,48,27,9,2,11,21,2
420,MIN,MIN @ ATL,03/13/2023,W,136,54,92,58.7,12,28,42.9,16,23,69.6,5,32,37,39,12,10,13,22,21
421,MIL,MIL @ SAC,03/13/2023,W,133,50,86,58.1,15,33,45.5,18,22,81.8,5,38,43,29,2,4,13,18,9
422,POR,POR @ NOP,03/12/2023,L,110,43,88,48.9,10,33,30.3,14,20,70.0,10,36,46,26,10,2,19,21,-17
423,NOP,NOP vs. POR,03/12/2023,W,127,43,86,50.0,19,40,47.5,22,29,75.9,8,35,43,35,11,7,15,19,17
424,DEN,DEN vs. BKN,03/12/2023,L,120,45,90,50.0,12,31,38.7,18,24,75.0,15,34,49,27,4,8,15,19,-2
425,NYK,NYK @ LAL,03/12/2023,W,112,42,88,47.7,11,37,29.7,17,21,81.0,12,34,46,18,8,3,11,18,4
426,SAS,SAS vs. OKC,03/12/2023,L,90,33,88,37.5,10,36,27.8,14,19,73.7,10,40,50,24,3,7,19,18,-12
427,OKC,OKC @ SAS,03/12/2023,W,102,36,95,37.9,10,39,25.6,20,23,87.0,12,43,55,26,8,3,9,19,12
